cid,inference,postprocess_preds,prepare_input,process_case,read_brain_mask,read_image,save_time_vessel_map,totalsegmentator,brain_segmentation,io,generator,postprocessing,case_total
ukb_0372,339.7447,0.2579,1.8449,62.5795,0.1213,1.3622,0.1365,39.8998,39.8998,1.4835,341.5896,62.8375,445.8103
fast_0354,335.915,0.1452,1.0186,34.9821,0.0973,0.9077,0.0743,36.7726,36.7726,1.005,336.9336,35.1273,409.8386
ukb_0288,266.2721,0.2063,1.6476,67.148,0.1118,1.1742,0.1191,37.808,37.808,1.286,267.9197,67.3543,374.3679
ukb_0120,250.7274,0.2299,1.6708,74.2832,0.1225,1.1512,0.1312,36.8012,36.8012,1.2737,252.3982,74.5131,364.9863
ukb_0112,253.0152,0.2451,2.1186,65.6581,0.1244,1.2414,0.1302,37.3956,37.3956,1.3657,255.1339,65.9031,359.7983
ukb_0127,246.9127,0.2187,1.5961,67.583,0.141,1.179,0.1349,36.8267,36.8267,1.32,248.5087,67.8017,354.4571
ukb_0081,240.6294,0.2038,1.5379,74.2424,0.131,1.1992,0.1141,36.3208,36.3208,1.3301,242.1673,74.4462,354.2645
ukb_0443,228.6758,0.2532,1.867,82.891,0.1353,1.3398,0.144,36.7943,36.7943,1.4751,230.5428,83.1441,351.9563
ukb_0418,244.2217,0.2106,1.6892,65.7636,0.1154,1.2616,0.1206,37.1027,37.1027,1.377,245.9109,65.9742,350.3648
ukb_0292,240.6832,0.2106,1.7486,63.9994,0.1059,1.1785,0.1266,36.1108,36.1108,1.2844,242.4318,64.21,344.0371
ukb_0069,248.8147,0.1848,1.4436,54.4942,0.1166,1.049,0.1106,36.6246,36.6246,1.1655,250.2583,54.679,342.7275
ukb_0100,242.2668,0.223,1.5531,61.4076,0.1207,1.1597,0.1206,35.9733,35.9733,1.2804,243.8199,61.6306,342.7042
fast_0156,174.3031,0.3507,2.7547,124.7211,0.1305,1.9157,0.19,38.3299,38.3299,2.0461,177.0578,125.0718,342.5056
ukb_0253,237.7813,0.2001,1.5839,64.2788,0.1117,1.096,0.1142,36.9675,36.9675,1.2077,239.3652,64.4789,342.0192
fast_0258,249.4535,0.1388,1.0681,43.6942,0.0854,0.7659,0.0746,35.2681,35.2681,0.8513,250.5216,43.833,330.4739
ukb_0291,218.2194,0.2057,1.7331,64.9776,0.118,1.2295,0.1184,37.5624,37.5624,1.3475,219.9525,65.1833,324.0457
fast_0115,244.4475,0.14,1.0692,40.8354,0.081,0.7436,0.0757,36.6165,36.6165,0.8247,245.5167,40.9755,323.9334
fast_0116,246.1968,0.1425,1.0328,38.5262,0.0935,0.8714,0.0763,36.8373,36.8373,0.9649,247.2296,38.6687,323.7005
ukb_0422,217.4717,0.2064,1.6358,65.0381,0.1227,1.1023,0.1277,37.124,37.124,1.225,219.1076,65.2445,322.701
ukb_0257,218.2271,0.203,1.4863,64.2302,0.122,1.0116,0.1191,37.2446,37.2446,1.1336,219.7134,64.4332,322.5248
fast_0301,243.854,0.1354,0.987,39.889,0.0854,0.8436,0.0779,35.7642,35.7642,0.9291,244.8411,40.0244,321.5587
fast_0185,247.1278,0.1358,0.9833,34.408,0.1025,0.7278,0.0781,37.1506,37.1506,0.8303,248.1111,34.5438,320.6357
fast_0186,240.2723,0.1465,1.0681,42.9711,0.0945,0.8167,0.0814,35.2187,35.2187,0.9112,241.3404,43.1176,320.5879
fast_0347,245.3976,0.1241,0.9498,35.0821,0.0842,0.7498,0.071,36.5604,36.5604,0.834,246.3474,35.2063,318.9482
