,n,mean,sd,ci_low,ci_high,median,min,max,total,boot_ci_low,boot_ci_high,mean_95ci
brain_segmentation,355.0,34.4161,1.3591,34.2742,34.5579,34.4361,30.7443,39.8998,12217.704,34.2734,34.559,34.42 (34.27-34.56)
io,355.0,1.1606,0.2757,1.1319,1.1894,1.2556,0.4589,2.0461,412.0296,1.1322,1.189,1.16 (1.13-1.19)
generator,355.0,144.2283,45.7376,139.4541,149.0024,133.2566,57.1974,341.5896,51201.0396,139.4532,148.9855,144.23 (139.45-149.00)
postprocessing,355.0,56.4984,18.0951,54.6097,58.3872,60.5214,11.0373,125.0718,20056.946,54.6278,58.3925,56.50 (54.61-58.39)
case_total,355.0,236.3034,51.7976,230.8968,241.7101,235.3293,120.917,445.8103,83887.7192,230.9391,241.7377,236.30 (230.90-241.71)
inference,355.0,142.8677,45.6594,138.1017,147.6337,131.4868,56.4084,339.7447,50718.0252,138.1027,147.6074,142.87 (138.10-147.63)
postprocess_preds,355.0,0.172,0.0502,0.1668,0.1772,0.1923,0.058,0.3507,61.0588,0.1668,0.1772,0.17 (0.17-0.18)
prepare_input,355.0,1.3606,0.3674,1.3223,1.399,1.5197,0.4471,2.7547,483.0144,1.3224,1.3984,1.36 (1.32-1.40)
process_case,355.0,56.3264,18.0492,54.4425,58.2104,60.3254,10.9793,124.7211,19995.8871,54.4606,58.2149,56.33 (54.44-58.21)
read_brain_mask,355.0,0.1158,0.0328,0.1123,0.1192,0.118,0.0645,0.4641,41.0985,0.1125,0.1194,0.12 (0.11-0.12)
read_image,355.0,1.0449,0.2551,1.0182,1.0715,1.127,0.3783,1.9157,370.9311,1.0187,1.0711,1.04 (1.02-1.07)
save_time_vessel_map,355.0,0.1088,0.0324,0.1054,0.1122,0.1177,0.0417,0.2894,38.6204,0.1055,0.1122,0.11 (0.11-0.11)
totalsegmentator,355.0,34.4161,1.3591,34.2742,34.5579,34.4361,30.7443,39.8998,12217.704,34.2734,34.559,34.42 (34.27-34.56)
